Nome Empresa;Ticker;SETOR_ATIV;Dados;Analise;Tipo de Analise;Melhor Indicador;Desempenho do Trimestre;DT_REFER;Lucro/Prejuízo do Período;Ativo Total;Ativo Circulante;Contas a Receber;Passivo Total;Passivo Circulante;Obrigações Sociais e Trabalhistas;Obrigações Fiscais;Reservas de Lucro;Patrimônio Líquido;Receita
VALID SOLUÇÕES S.A.;VLID;Gráficas e Editoras;Previsão;Analise de Historico Financeiro;Regressão Polimonial;Não Analisado;Não Analisado;2022-12-30 00:00:00;16126,481622964966;2526037,0247008493;770844,7910194433;367981,1414990048;-2526037,0247008493;-566159,939648575;47087,49520415445;14077,758000177972;-74664,06128503967;1149001,6681096735;246012,09769971762
VALID SOLUÇÕES S.A.;VLID;Gráficas e Editoras;Previsão;Analise de Historico Financeiro;Regressão Polimonial;Não Analisado;Não Analisado;2023-03-30 00:00:00;22622,727612272814;2622134,2649021093;801192,5283748297;402778,05861474667;-2622134,2649021093;-609735,1814878145;49172,62620987569;13847,591921953339;-108521,30328255743;1120094,798489101;257972,3820168893
VALID SOLUÇÕES S.A.;VLID;Gráficas e Editoras;Previsão;Analise de Historico Financeiro;Regressão Polimonial;Não Analisado;Não Analisado;2023-06-30 00:00:00;30144,658183392552;2722573,327037162;832590,6487617946;440865,27275068057;-2722573,327037162;-656276,6640267217;51544,061014188854;13486,112987589164;-144788,14163329164;1085092,7681744825;271028,5208167054
VALID SOLUÇÕES S.A.;VLID;Gráficas e Editoras;Previsão;Analise de Historico Financeiro;Regressão Polimonial;Não Analisado;Não Analisado;2023-09-30 00:00:00;38745,512015996304;2827507,019640236;865054,3674196954;482388,2504781219;-2827507,019640236;-705880,6892714098;54218,52169247853;12983,47900236088;-183529,5430473327;1043720,6316892194;285228,68014672206
SUZANO HOLDING S.A.;NEMO;Emp. Adm. Part. - Papel e Celulose;Previsão;Analise de Historico Financeiro;Regressão Polimonial;Não Analisado;Não Analisado;2022-12-30 00:00:00;1854995,1252015252;7279190,248961741;39468,940836895345;4722,137170020267;-7279190,248961741;-3282,8866819315735;6435,915711741509;252,66955266984246;640025,1735845635;7032832,868175866;1856965,4114251628
SUZANO HOLDING S.A.;NEMO;Emp. Adm. Part. - Papel e Celulose;Previsão;Analise de Historico Financeiro;Regressão Polimonial;Não Analisado;Não Analisado;2023-03-30 00:00:00;2298739,5801462205;8136319,033771295;39920,86115980771;5585,1009550430645;-8136319,033771295;-1934,4202231079398;7932,654670716132;252,32254408769063;660912,5065118318;7801570,715800395;2301666,029984205
SUZANO HOLDING S.A.;NEMO;Emp. Adm. Part. - Papel e Celulose;Previsão;Analise de Historico Financeiro;Regressão Polimonial;Não Analisado;Não Analisado;2023-06-30 00:00:00;2791767,4385076985;9093455,778689273;40555,409114452224;6534,12885939005;-9093455,778689273;-666,9890606472036;9673,055320773514;260,2211770700876;685558,6025037197;8657955,656376658;2795835,6912827156
SUZANO HOLDING S.A.;NEMO;Emp. Adm. Part. - Papel e Celulose;Previsão;Analise de Historico Financeiro;Regressão Polimonial;Não Analisado;Não Analisado;2023-09-30 00:00:00;3336343,5271663275;10155350,910516009;41375,21343040488;7572,957481618274;-10155350,910516009;518,1100267823495;11669,595563032482;276,9275170490712;714151,6681441306;9606237,617259642;3341751,093700053
SPRINGS GLOBAL PARTICIPACOES S.A.;SGPS;Emp. Adm. Part. - Têxtil e Vestuário;Previsão;Analise de Historico Financeiro;Regressão Polimonial;Não Analisado;Não Analisado;2022-12-30 00:00:00;-160557,01638229884;600988,7131823683;4667,743909683786;-186,53221288514663;-600988,7131823683;-1614,610474483161;109,64722858843245;-6,274594686325173;-5499,327731098267;554394,3430953196;-142148,91189200725
SPRINGS GLOBAL PARTICIPACOES S.A.;SGPS;Emp. Adm. Part. - Têxtil e Vestuário;Previsão;Analise de Historico Financeiro;Regressão Polimonial;Não Analisado;Não Analisado;2023-03-30 00:00:00;-181945,97498489724;452604,9156407332;5843,182316004048;-259,58543417366894;-452604,9156407332;2508,178512368824;112,45249221723071;-31,873077814217908;-6413,976833982539;405221,1189919461;-156056,39584577692
SPRINGS GLOBAL PARTICIPACOES S.A.;SGPS;Emp. Adm. Part. - Têxtil e Vestuário;Previsão;Analise de Historico Financeiro;Regressão Polimonial;Não Analisado;Não Analisado;2023-06-30 00:00:00;-204890,62322675379;285901,4760654783;7171,037735735072;-341,05864024131046;-285901,4760654783;7259,151400222683;115,3603845090297;-60,593032781848365;-7196,242514080819;237314,12165798177;-170627,9469561637
SPRINGS GLOBAL PARTICIPACOES S.A.;SGPS;Emp. Adm. Part. - Têxtil e Vestuário;Previsão;Analise de Historico Financeiro;Regressão Polimonial;Não Analisado;Não Analisado;2023-09-30 00:00:00;-229433,9479524931;99936,21192559414;8657,168890682922;-431,33083810175316;-99936,21192559414;12675,124312244363;118,3815043629732;-92,57257380163486;-7834,892238550703;49702,153972795466;-185866,81229673655
SAO PAULO TURISMO S.A.;AHEB;Emp. Adm. Part. - Hospedagem e Turismo;Previsão;Analise de Historico Financeiro;Regressão Polimonial;Não Analisado;Não Analisado;2022-12-30 00:00:00;-4749,461505808906;331863,96850871365;104974,98540024461;58553,4591292252;-331863,96850871365;-130132,68126640272;5984,387403445934;55718,84738137874;6705,090909109404;-107589,47763348868;57469,70155334589
