Nome Empresa;Ticker;SETOR_ATIV;DT_REFER;Ativo Circulante;Ativo Total;Contas a Receber;Lucro/Prejuízo do Período;Obrigações Fiscais;Obrigações Sociais e Trabalhistas;Passivo Circulante;Passivo Total;Patrimônio Líquido;Reservas de Lucro;Receita
3R PETROLEUM ÓLEO E GÁS S.A.;RRRP;Petróleo e Gás;2020-03-31;3043;347642;0;-27951,0;98;82;2012;347642;287997;0,0;-28134,0
3R PETROLEUM ÓLEO E GÁS S.A.;RRRP;Petróleo e Gás;2020-06-30;1975;323655;0;-42319,0;0;112;2158;323655;222294;0,0;-42335,0
3R PETROLEUM ÓLEO E GÁS S.A.;RRRP;Petróleo e Gás;2020-09-30;1280;320788;0;-12749,0;0;104;314;320788;218364;0,0;-12754,0
3R PETROLEUM ÓLEO E GÁS S.A.;RRRP;Petróleo e Gás;2021-03-31;1378821;1829110;790530;-43974,0;0;87;4301;1829110;1822515;0,0;-76406,0
3R PETROLEUM ÓLEO E GÁS S.A.;RRRP;Petróleo e Gás;2021-06-30;1161876;1841909;0;24107,0;0;85;20824;1841909;1818438;0,0;150632,0
3R PETROLEUM ÓLEO E GÁS S.A.;RRRP;Petróleo e Gás;2021-09-30;997475;1838564;0;-5773,0;0;83;7378;1838564;1822364;0,0;-83085,0
3R PETROLEUM ÓLEO E GÁS S.A.;RRRP;Petróleo e Gás;2022-03-31;1334326;3879459;0;-292117,0;0;16565;37484;3879459;3800973;0,0;-42926,0
3R PETROLEUM ÓLEO E GÁS S.A.;RRRP;Petróleo e Gás;2022-06-30;127265;3983791;25470;52831,0;0;26847;49518;3983791;3879970;0,0;-25780,0
3R PETROLEUM ÓLEO E GÁS S.A.;RRRP;Petróleo e Gás;2022-09-30;874087;5374265;30956;431856,0;0;28358;118613;5374265;4318783;0,0;437487,0
AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.;AERI;Máquinas, Equipamentos, Veículos e Peças;2020-03-31;567741;1054027;183521;16605,0;10029;22829;540736;1054027;191550;138027,0;280687,0
AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.;AERI;Máquinas, Equipamentos, Veículos e Peças;2020-06-30;798108;1304039;108049;24521,0;5579;32101;736067;1304039;114544;77397,0;459573,0
