Data_REF;Nome Empresa;Ticker;SETOR_ATIV;1;2;3;4;5;6;7;8;9;10;11;12
2022-12-30;YDUQS PARTICIPACOES S.A.;YDUQ;Emp. Adm. Part. - Educação;3053976,4321356844;93704,97436555766;93704,97436555766;1459898,0023766311;3053976,4321356844;8537161,736187419;3053976,4321356844;-8537161,736187419;3053976,4321356844;-912183,1911552777;3053976,4321356844;440078,7175110806
2023-03-30;YDUQS PARTICIPACOES S.A.;YDUQ;Emp. Adm. Part. - Educação;2994216,539658768;79139,29325282795;79139,29325282795;1493044,1344972968;2994216,539658768;9026117,464162456;2994216,539658768;-9026117,464162456;2994216,539658768;-957782,2741221308;2994216,539658768;423418,3675843598
2023-06-30;YDUQS PARTICIPACOES S.A.;YDUQ;Emp. Adm. Part. - Educação;2926273,9223179556;63164,90434300137;63164,90434300137;1525312,9132841302;2926273,9223179556;9546544,690089654;2926273,9223179556;-9546544,690089654;2926273,9223179556;-1004514,8680694274;2926273,9223179556;405286,02437771874
2023-09-30;YDUQS PARTICIPACOES S.A.;YDUQ;Emp. Adm. Part. - Educação;2850089,247594431;45743,38143727102;45743,38143727102;1556662,3174652813;2850089,247594431;10099819,045856724;2850089,247594431;-10099819,045856724;2850089,247594431;-1052384,1300318139;2850089,247594431;385672,92682530073
2022-12-30;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;WLMM;Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças;671604,3270519506;654468,8685170998;654468,8685170998;231447,92250231077;671604,3270519506;783680,169340343;671604,3270519506;-783680,169340343;671604,3270519506;-88452,20923520676;671604,3270519506;464547,7572362297
2023-03-30;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;WLMM;Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças;722151,3185797608;732127,9460950588;732127,9460950588;258180,06301257166;722151,3185797608;845562,4635680998;722151,3185797608;-845562,4635680998;722151,3185797608;-96200,03930285956;722151,3185797608;521503,90675549326
2023-06-30;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;WLMM;Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças;778202,666406616;815421,245160035;815421,245160035;288065,73261583614;778202,666406616;913879,6930020612;778202,666406616;-913879,6930020612;778202,666406616;-104396,06924583288;778202,666406616;582785,7142352373
2023-09-30;WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;WLMM;Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças;840005,8021644105;904538,8075603239;904538,8075603239;321253,02033301373;840005,8021644105;988916,4280369966;840005,8021644105;-988916,4280369966;840005,8021644105;-113051,63970260666;840005,8021644105;648529,3427401704
2018-12-30;WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.;WIZS;Seguradoras e Corretoras;297987,7733861422;158979,21080368655;158979,21080368655;50895,59683801101;297987,7733861422;1028737,1429516015;297987,7733861422;-1028737,1429516015;297987,7733861422;-273215,5691699943;297987,7733861422;108803,78129121414
2019-03-30;WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.;WIZS;Seguradoras e Corretoras;383172,31963121984;179283,49064558322;179283,49064558322;81414,76521746961;383172,31963121984;1329504,6441374295;383172,31963121984;-1329504,6441374295;383172,31963121984;-354909,7711462843;383172,31963121984;134845,0117260044
2019-06-30;WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.;WIZS;Seguradoras e Corretoras;487791,7746631638;202498,68237559174;202498,68237559174;121355,79455770676;487791,7746631638;1693941,709476504;487791,7746631638;-1693941,709476504;487791,7746631638;-453314,66856191785;487791,7746631638;169316,29828727696
2019-09-30;WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.;WIZS;Seguradoras e Corretoras;613363,4866605285;228784,425994613;228784,425994613;171548,85120107798;613363,4866605285;2126892,636625428;613363,4866605285;-2126892,636625428;613363,4866605285;-569633,1616567519;613363,4866605285;212953,00721716424
2022-12-30;WHIRLPOOL S.A.;WHRL;Máquinas, Equipamentos, Veículos e Peças;2242613,3116033706;2363479,5487651415;2363479,5487651415;562236,9874371677;2242613,3116033706;8945183,995755509;2242613,3116033706;-8945183,995755509;2242613,3116033706;-5504728,975553693;2242613,3116033706;5039824,8838805985
2023-03-30;WHIRLPOOL S.A.;WHRL;Máquinas, Equipamentos, Veículos e Peças;2231822,037465245;2501285,229657675;2501285,229657675;561355,2318297615;2231822,037465245;9286220,270705776;2231822,037465245;-9286220,270705776;2231822,037465245;-5786820,739977337;2231822,037465245;5214406,811319803
