Info;Data;tick
Papel;AALR3;AALR3
Cotação;24,13;AALR3
Tipo;ON NM;AALR3
Data últ cot;19/07/2023;AALR3
Empresa;ALLIAR ON NM;AALR3
Min 52 sem;19,45;AALR3
Setor;Serv.Méd.Hospit. Análises e Diagnósticos;AALR3
Max 52 sem;24,14;AALR3
Subsetor;Serv.Méd.Hospit. Análises e Diagnósticos;AALR3
Vol $ méd (2m);8.310.170;AALR3
Valor de mercado;2.854.410.000;AALR3
Últ balanço processado;31/03/2023;AALR3
Valor da firma;3.714.640.000;AALR3
Nro. Ações;118.293.000;AALR3
Dia;0,00%;AALR3
P/L;-11,54;AALR3
LPA;-2,09;AALR3
Mês;2,03%;AALR3
P/VP;3,15;AALR3
VPA;7,67;AALR3
30 dias;3,83%;AALR3
P/EBIT;2.378,68;AALR3
Marg. Bruta;30,8%;AALR3
12 meses;23,43%;AALR3
PSR;2,60;AALR3
Marg. EBIT;0,1%;AALR3
2023;11,71%;AALR3
P/Ativos;1,11;AALR3
Marg. Líquida;21,7%;AALR3
2022;44,29%;AALR3
P/Cap. Giro;11,42;AALR3
EBIT / Ativo;0,0%;AALR3
2021;34,86%;AALR3
P/Ativ Circ Liq;2,38;AALR3
ROIC;0,1%;AALR3
2020;-38,03%;AALR3
Div. Yield;0,0%;AALR3
ROE;27,3%;AALR3
2019;37,16%;AALR3
EV / EBITDA;32,06;AALR3
Liquidez Corr;0,63;AALR3
2018;-10,60%;AALR3
EV / EBIT;3.095,53;AALR3
Div Br/ Patrim;1,12;AALR3
Cres. Rec (5a);1,2%;AALR3
Giro Ativos;0,43;AALR3
Ativo;2.571.690.000;AALR3
Dív. Bruta;1.014.840.000;AALR3
Disponibilidades;154.614.000;AALR3
Dív. Líquida;860.225.000;AALR3
Ativo Circulante;433.144.000;AALR3
Patrim. Líq;906.947.000;AALR3
Relatorio 12 meses Lucro Líquido;-247.442.000;AALR3
Relatorio 3 meses Lucro Líquido;-36.179.000;AALR3
Relatorio 12 meses EBIT;-1.200.000;AALR3
Relatorio 3 meses EBIT;22.223.000;AALR3
Relatorio 12 meses Receita Líquida;1.099.500.000;AALR3
Relatorio 3 meses Receita Líquida;289.650.000;AALR3
Papel;ABCB4;ABCB4
Cotação;18,27;ABCB4
Tipo;PN N2;ABCB4
Data últ cot;19/07/2023;ABCB4
Empresa;ABC Brasil PN N2;ABCB4
Min 52 sem;15,11;ABCB4
Setor;Intermediários Financeiros;ABCB4
