Nome Empresa;Ticker;SETOR_ATIV;DT_REFER;1;2;3;4;5;6;7;8;9;10;11;12;12 Cluster;34 Cluster;56 Cluster;78 Cluster;910 Cluster;1112 Cluster
VALID SOLUÇÕES S.A.;VLID;Gráficas e Editoras;2022-09-30;1273442;252385,0;252385,0;15910,0;1273442;2423257;1273442;-2423257;1273442;-485803;1273442;697728;0,0;0,0;0,0;0,0;0,0;0,0
SUZANO HOLDING S.A.;NEMO;Emp. Adm. Part. - Papel e Celulose;2022-09-30;7971000;1517648,0;1517648,0;893209,0;7971000;7977004;7971000;-7977004;7971000;-4129;7971000;44908;0,0;0,0;0,0;0,0;0,0;0,0
SPRINGS GLOBAL PARTICIPACOES S.A.;SGPS;Emp. Adm. Part. - Têxtil e Vestuário;2022-09-30;605751;0,0;0,0;0,0;605751;660587;605751;-660587;605751;-10396;605751;1173;0,0;0,0;0,0;0,0;0,0;0,0
SAO PAULO TURISMO S.A.;AHEB;Emp. Adm. Part. - Hospedagem e Turismo;2022-09-30;0;37431,0;37431,0;0,0;0;290088;0;-290088;0;-75571;0;74583;0,0;0,0;0,0;0,0;0,0;0,0
PRÁTICA KLIMAQUIP INDÚSTRIA E COMÉRCIO S.A.;PTCA;Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças;2022-09-30;75532;69078,0;69078,0;46488,0;75532;214196;75532;-214196;75532;-86563;75532;152705;2,0;2,0;2,0;2,0;2,0;2,0
WEG S.A.;WEGE;Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças;2022-09-30;13894451;1159399,0;1159399,0;3485565,0;13894451;14115374;13894451;-14115374;13894451;-216193;13894451;1166398;1,0;1,0;1,0;1,0;1,0;1,0
WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.;WLMM;Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças;2022-09-30;605078;635980,0;635980,0;193819,0;605078;689333;605078;-689333;605078;-68275;605078;354063;0,0;0,0;0,0;0,0;0,0;0,0
PLASCAR PARTICIPACOES INDUSTRIAIS S.A.;PLAS;Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças;2022-09-30;0;0,0;0,0;0,0;0;8387;0;-8387;0;-183;0;8380;0,0;0,0;0,0;0,0;0,0;0,0
VALE S.A.;VALE;Extração Mineral;2022-09-30;179538000;39200000,0;39200000,0;35717000,0;179538000;411421000;179538000;-411421000;179538000;-74716000;179538000;73053000;0,0;0,0;0,0;0,0;0,0;0,0
KLABIN S.A.;KLBN;Papel e Celulose;2022-09-30;9002800;5250745,0;5250745,0;1091712,0;9002800;43601585;9002800;-43601585;9002800;-5082962;9002800;11284914;1,0;1,0;1,0;1,0;1,0;1,0
SUZANO S.A.;SUZB;Papel e Celulose;2022-09-30;27951653;8333546,0;8333546,0;3040935,0;27951653;130803822;27951653;-130803822;27951653;-20269530;27951653;17784636;0,0;0,0;0,0;0,0;0,0;0,0
KEPLER WEBER S.A.;KEPL;Emp. Adm. Part. - Metalurgia e Siderurgia;2022-09-30;631379;117067,0;117067,0;193917,0;631379;655326;631379;-655326;631379;-17617;631379;24410;2,0;2,0;2,0;2,0;2,0;2,0
METALURGICA GERDAU S.A.;GOAU;Emp. Adm. Part. - Metalurgia e Siderurgia;2022-09-30;16694955;992413,0;992413,0;4283314,0;16694955;16729896;16694955;-16729896;16694955;-34787;16694955;486517;1,0;1,0;1,0;1,0;1,0;1,0
TEKNO S.A. - INDUSTRIA E COMERCIO;TKNO;Emp. Adm. Part. - Metalurgia e Siderurgia;2022-09-30;264665;83163,0;83163,0;58181,0;264665;371651;264665;-371651;264665;-92926;264665;227589;0,0;0,0;0,0;0,0;0,0;0,0
MANGELS INDUSTRIAL S.A.;MGEL;Emp. Adm. Part. - Metalurgia e Siderurgia;2022-09-30;0;232965,0;232965,0;0,0;0;674410;0;-674410;0;-194574;0;372736;0,0;0,0;0,0;0,0;0,0;0,0
