SETOR_ASIS;SETOR_AJUST
Agricultura (Açúcar, Álcool e Cana);Agro
Alimentos;Alimentos
Arrendamento Mercantil;Arrendamento Mercantil
Bancos;Bancos
Bebidas e Fumo;Bebidas e Fumo
Bolsas de Valores/Mercadorias e Futuros;Bolsa de Valores
Brinquedos e Lazer;Brinquedos e Lazer
Comércio (Atacado e Varejo);Comércio
Construção Civil, Mat. Constr. e Decoração;Construção Civil
Crédito Imobiliário;Crédito Imobiliário
Educação;Educação
Emp. Adm. Part. - Comércio (Atacado e Varejo);Comércio
Emp. Adm. Part. - Comunicação e Informática;Telecomunicação
Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração;Construção Civil
Emp. Adm. Part. - Educação;Educação
Emp. Adm. Part. - Energia Elétrica;Energia Elétrica
Emp. Adm. Part. - Extração Mineral;Extração Mineral
Emp. Adm. Part. - Intermediação Financeira;Intermediação Financeira
Emp. Adm. Part. - Seguradoras e Corretoras;Seguradoras e Corretoras
Emp. Adm. Part. - Sem Setor Principal;Serviços em Geral
Emp. Adm. Part. - Serviços médicos;Serviços Médicos
Emp. Adm. Part. - Serviços Transporte e Logística;Logistica
Emp. Adm. Part. - Telecomunicações;Telecomunicações
Emp. Adm. Part. - Têxtil e Vestuário;Têxtil e Vestuário
Emp. Adm. Participações;Administradora
Energia Elétrica;Energia Elétrica
Extração Mineral;Extração Mineral
Farmacêutico e Higiene;Farmacêutico e Higiene
Gráficas e Editoras;Gráficas e Editoras
Hospedagem e Turismo;Hospedagem e Turismo
Intermediação Financeira;Intermediação Financeira
Máquinas, Equipamentos, Veículos e Peças;Industria
Metalurgia e Siderurgia;Metalurgia e Siderurgia
Outras Atividades Industriais;Industria em geral
Papel e Celulose;Papel e Celulose
Petróleo e Gás;Petróleo e Gás
Petroquímicos e Borracha;Petroquímicos e Borracha
Saneamento, Serv. Água e Gás;Saneamento Básico
Securitização de Recebíveis;Securitização de Recebíveis
Seguradoras e Corretoras;Seguradoras e Corretoras
Serviços Diversos;Serviços em Geral
Serviços Médicos;Serviços Médicos
Serviços Transporte e Logística;Logistica
Telecomunicações;Telecomunicação
Têxtil e Vestuário;Têxtil e Vestuário
Embalagens;Embalagens
Emp. Adm. Part. - Crédito Imobiliário;Crédito Imobiliário
Comunicação e Informática;Telecomunicação
Emp. Adm. Part. - Hospedagem e Turismo;Hospedagem e Turismo
Comércio Exterior;Comércio Exterior
Emp. Adm. Part. - Bancos;Bancos
Emp. Adm. Part. - Alimentos;Alimentos
Emp. Adm. Part. - Saneamento, Serv. Água e Gás;Saneamento Básico
Emp. Adm. Part.-Bolsas de Valores/Mercadorias e Futuros;Bolsa de Valores
Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças;Industria
Emp. Adm. Part. - Metalurgia e Siderurgia;Metalurgia e Siderurgia
Emp. Adm. Part. - Petróleo e Gás;Petróleo e Gás
Pesca;Alimentos
Emp. Adm. Part. - Agricultura (Açúcar, Álcool e Cana);Agro
Emp. Adm. Part. - Securitização de Recebíveis;Securitização de Recebíveis
Emp. Adm. Part. - Petroquímicos e Borracha;Petroquímicos e Borracha
Emp. Adm. Part. - Arrendamento Mercantil;Arrendamento Mercantil
Reflorestamento;Meio-Ambiente
Emp. Adm. Part. - Embalagens;Embalagens
Emp. Adm. Part. - Farmacêutico e Higiene;Farmacêutico e Higiene
Emp. Adm. Part. - Gráficas e Editoras;Gráficas e Editoras
Factoring;Intermediação Financeira
Emp. Adm. Part. - Brinquedos e Lazer;Brinquedos e Lazer
Emp. Adm. Part. - Papel e Celulose;Papel e Celulose
Serviços em Geral;Serviços em Geral
