Info;Data
Papel;PETR4
Cotação;28,99
Tipo;PN
Data últ cot;17/07/2023
Empresa;PETROBRAS PN
Min 52 sem;17,21
Setor;Petróleo, Gás e Biocombustíveis
Max 52 sem;31,85
Subsetor;Exploração, Refino e Distribuição
Vol $ méd (2m);1.646.210.000
Valor de mercado;378.160.000.000
Últ balanço processado;31/03/2023
Valor da firma;582.285.000.000
Nro. Ações;13.044.500.000
Dia;0,21%
P/L;2,08
LPA;13,95
Mês;-6,57%
P/VP;0,94
VPA;30,82
30 dias;-2,19%
P/EBIT;1,26
Marg. Bruta;52,1%
12 meses;72,32%
PSR;0,59
Marg. EBIT;46,9%
2023;40,94%
P/Ativos;0,39
Marg. Líquida;28,6%
2022;46,00%
P/Cap. Giro;13,16
EBIT / Ativo;30,6%
2021;22,76%
P/Ativ Circ Liq;0,90
ROIC;33,8%
2020;-6,10%
Div. Yield;51,2%
ROE;45,2%
2019;36,87%
EV / EBITDA;1,56
Liquidez Corr;1,22
2018;41,83%
EV / EBIT;1,94
Div Br/ Patrim;0,67
Cres. Rec (5a);18,6%
Giro Ativos;0,65
Ativo;978.577.000.000
Dív. Bruta;271.031.000.000
Disponibilidades;66.906.000.000
Dív. Líquida;204.125.000.000
Ativo Circulante;157.194.000.000
Patrim. Líq;402.084.000.000
Relatorio 12 meses Lucro Líquido;181.923.000.000
Relatorio 3 meses Lucro Líquido;38.156.000.000
Relatorio 12 meses EBIT;299.839.000.000
Relatorio 3 meses EBIT;65.112.000.000
Relatorio 12 meses Receita Líquida;638.683.000.000
Relatorio 3 meses Receita Líquida;139.068.000.000
