Data;Valor pago;Tipo de dividendos;Data de pagamento
30/06/2023;0,79;Rendimento;14/07/2023
31/05/2023;0,75;Rendimento;15/06/2023
28/04/2023;0,74;Rendimento;15/05/2023
31/03/2023;0,74;Rendimento;17/04/2023
28/02/2023;0,74;Rendimento;14/03/2023
31/01/2023;0,74;Rendimento;14/02/2023
29/12/2022;0,74;Rendimento;13/01/2023
30/11/2022;0,74;Rendimento;14/12/2022
31/10/2022;0,74;Rendimento;16/11/2022
30/09/2022;0,74;Rendimento;17/10/2022
31/08/2022;0,72;Rendimento;15/09/2022
29/07/2022;0,72;Rendimento;12/08/2022
30/06/2022;0,70;Rendimento;14/07/2022
31/05/2022;0,68;Rendimento;14/06/2022
29/04/2022;0,66;Rendimento;13/05/2022
31/03/2022;0,66;Rendimento;14/04/2022
25/02/2022;0,66;Rendimento;15/03/2022
31/01/2022;0,64;Rendimento;14/02/2022
30/12/2021;0,64;Rendimento;14/01/2022
30/11/2021;0,64;Rendimento;14/12/2021
29/10/2021;0,64;Rendimento;16/11/2021
30/09/2021;0,62;Rendimento;15/10/2021
31/08/2021;0,62;Rendimento;15/09/2021
30/07/2021;0,62;Rendimento;13/08/2021
30/06/2021;0,61;Rendimento;14/07/2021
31/05/2021;0,61;Rendimento;15/06/2021
30/04/2021;0,60;Rendimento;14/05/2021
31/03/2021;0,59;Rendimento;15/04/2021
26/02/2021;0,58;Rendimento;12/03/2021
29/01/2021;0,58;Rendimento;12/02/2021
30/12/2020;0,60;Rendimento;15/01/2021
30/11/2020;0,58;Rendimento;14/12/2020
30/10/2020;0,58;Rendimento;13/11/2020
30/09/2020;0,58;Rendimento;15/10/2020
31/08/2020;0,58;Rendimento;15/09/2020
31/07/2020;0,58;Rendimento;14/08/2020
30/06/2020;0,57;Rendimento;15/07/2020
29/05/2020;0,54;Rendimento;15/06/2020
30/04/2020;0,54;Rendimento;15/05/2020
31/03/2020;0,58;Rendimento;14/04/2020
28/02/2020;0,64;Rendimento;13/03/2020
31/01/2020;0,64;Rendimento;14/02/2020
30/12/2019;0,64;Rendimento;15/01/2020
29/11/2019;0,64;Rendimento;13/12/2019
31/10/2019;0,64;Rendimento;14/11/2019
30/09/2019;0,61;Rendimento;14/10/2019
30/08/2019;0,61;Rendimento;13/09/2019
31/07/2019;0,61;Rendimento;14/08/2019
28/06/2019;0,61;Rendimento;12/07/2019
31/05/2019;0,61;Rendimento;14/06/2019
30/04/2019;0,68;Rendimento;15/05/2019
29/03/2019;0,68;Rendimento;12/04/2019
28/02/2019;0,67;Rendimento;18/03/2019
31/01/2019;0,67;Rendimento;14/02/2019
28/12/2018;0,65;Rendimento;15/01/2019
30/11/2018;0,65;Rendimento;14/12/2018
31/10/2018;0,60;Rendimento;16/11/2018
28/09/2018;0,70;Rendimento;15/10/2018
31/08/2018;0,50;Rendimento;17/09/2018
31/07/2018;0,13;Rendimento;14/08/2018
29/06/2018;0,32;Rendimento;13/07/2018
