CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;ID_Capital_Social;Tipo_Capital;Data_Autorizacao_Aprovacao;Valor_Capital;Prazo_Integralizacao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes
00.000.000/0001-91;2022-01-01;23;127089;292747;Capital Integralizado;2023-04-27;120000000000.00;;2865417020;0;2865417020
00.000.000/0001-91;2022-01-01;23;127089;292748;Capital Subscrito;2015-04-28;90000023475.34;;2865417020;2865417020;2865417020
00.000.000/0001-91;2022-01-01;23;127089;292749;Capital Integralizado;2015-04-28;90000023475.34;;2865417020;0;286541720
00.000.000/0001-91;2022-01-01;23;127089;292750;Capital Autorizado;2015-04-28;120000000000.00;;2865417020;0;28654170200
00.000.208/0001-00;2022-01-01;19;127097;292766;Capital Emitido;2020-08-03;1300000000.00;;280146500;82900000;363046500
00.000.208/0001-00;2022-01-01;19;127097;292767;Capital Subscrito;2020-08-03;1300000000.00;;280146500;82900000;363046500
00.000.208/0001-00;2022-01-01;19;127097;292768;Capital Integralizado;2020-08-03;1300000000.00;;280146500;82900000;363046500
00.000.208/0001-00;2022-01-01;19;127097;292769;Capital Autorizado;2020-08-03;0.00;;555624000;164376000;720000000
00.001.180/0001-26;2022-01-01;28;127025;292574;Capital Emitido;2023-03-08;70099825620.33;Não aplicável;2027011498;280088314;2307099812
00.001.180/0001-26;2022-01-01;28;127025;292575;Capital Emitido;2022-07-04;698137400002.52;Não aplicável;2021139464;280088314;2301227778
00.001.180/0001-26;2022-01-01;28;127025;292576;Capital Emitido;2022-06-14;65419635826.52;Não aplicável.;1916517936;280088314;2196606250
00.001.180/0001-26;2022-01-01;28;127025;292577;Capital Subscrito;2022-06-14;65419635826.52;Não aplicável.;1916517936;280088314;2196606250
00.001.180/0001-26;2022-01-01;28;127025;292578;Capital Integralizado;2022-06-14;65419635826.52;Não aplicável.;1916517936;280088314;2196606250
00.001.180/0001-26;2022-01-01;28;127025;292579;Capital Autorizado;2022-02-22;80000000000.00;;0;0;0
00.070.698/0001-11;2022-01-01;5;125544;289617;Capital Subscrito;2021-10-14;566025355.62;;35920890;36161025;72081915
00.070.698/0001-11;2022-01-01;5;125544;289618;Capital Subscrito;2015-09-23;566025355.62;;7184178;7232205;14416383
00.070.698/0001-11;2022-01-01;5;125544;289619;Capital Autorizado;2005-02-15;368724452.20;;0;0;0
00.080.671/0001-00;2022-01-01;3;120092;272452;Capital Emitido;2022-04-18;1362038457.07;Não aplicável;24444000;0;24444000
00.080.671/0001-00;2022-01-01;3;120092;272453;Capital Subscrito;2022-04-18;1362038457.07;Não aplicável;24444000;0;24444000
00.080.671/0001-00;2022-01-01;3;120092;272454;Capital Integralizado;2022-04-18;1362038457.07;;24444000;0;24444000
00.192.769/0001-59;2022-01-01;1;116220;264563;Capital Autorizado;1994-08-23;10000.00;;10000;0;10000
00.194.724/0001-13;2022-01-01;3;126044;291099;Capital Emitido;2021-12-09;1768304301.66;Totalmente integralizado;1995532616;0;1995532616
00.194.724/0001-13;2022-01-01;3;126044;291100;Capital Subscrito;2021-12-09;1768304301.66;Totalmente integralizado;1995532616;0;1995532616
