CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Quantidade_Acionistas_PF;Quantidade_Acionistas_PJ;Quantidade_Acionistas_Investidores_Institucionais;Quantidade_Acoes_Ordinarias_Circulacao;Percentual_Acoes_Ordinarias_Circulacao;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao;Quantidade_Total_Acoes_Circulacao;Percentual_Total_Acoes_Circulacao;Data_Ultima_Assembleia
00.000.000/0001-91;2022-01-01;23;127089;853913;15061;1438;1420731069;49.582000;0;0.000000;1420731069;49.582000;2022-04-27
00.000.208/0001-00;2022-01-01;19;127097;2711;35;0;39346566;14.050000;2605590;3.150000;41952156;11.560000;2022-04-29
00.001.180/0001-26;2022-01-01;28;127025;134891;9466;1390;2013846657;99.350500;275669374;98.442230;2289516031;99.237800;2023-04-27
00.070.698/0001-11;2022-01-01;5;125544;1023;73;11;2444275;6.804606;11864425;32.809980;14308700;19.850610;2021-10-25
00.080.671/0001-00;2022-01-01;3;120092;8;4;0;0;0.000000;0;0.000000;0;0.000000;2022-04-18
00.192.769/0001-59;2022-01-01;1;116220;0;1;0;0;0.000000;0;0.000000;0;0.000000;2014-08-29
00.194.724/0001-13;2022-01-01;3;126044;0;1;0;0;0.000000;0;0.000000;0;0.000000;2022-12-05
00.242.184/0001-04;2022-01-01;7;126992;2058;29;192;172214221;49.773589;0;0.000000;172214221;49.773589;2022-04-29
00.272.185/0001-93;2022-01-01;5;126988;0;2;0;0;0.000000;0;0.000000;0;0.000000;2023-03-09
00.336.701/0001-04;2022-01-01;13;127244;6996;1486;75;1561903;3.150000;2143414;11.640000;3705317;5.460000;2021-04-20
00.359.742/0001-08;2022-01-01;5;125676;6034;35;0;6032062;28.629300;0;0.000000;6032062;28.629300;2022-04-29
00.383.281/0001-09;2022-01-01;13;125986;0;1;0;0;0.000000;0;0.000000;0;0.000000;2019-04-30
00.389.481/0001-79;2022-01-01;2;118400;2;1;0;0;0.000000;0;0.000000;0;0.000000;2022-01-03
00.416.968/0001-01;2022-01-01;11;122285;0;0;1;0;0.000000;0;0.000000;0;0.000000;2022-10-06
00.545.378/0001-70;2022-01-01;5;128228;0;0;1;29188116;100.000000;0;0.000000;29188116;100.000000;2023-03-16
00.622.416/0001-41;2022-01-01;10;123211;0;2;0;0;0.000000;0;0.000000;0;0.000000;2022-03-11
00.644.907/0001-93;2022-01-01;5;125817;30;15;0;402202302;51.140000;384203962;48.860000;786406264;100.000000;2022-04-28
00.743.065/0001-27;2022-01-01;1;115698;0;3;1;215495403;0.000000;0;0.000000;215495403;100.000000;2019-09-09
