CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Codigo_Conta;Descricao_Conta;Valor;Informacao_Financeira;Tipo_Moeda;Escala_Moeda
00.000.000/0001-91;2022-01-01;23;127089;2019-01-01;2019-12-31;a;Patrimônio Líquido;109971378578.51000000;Consolidado;Real;Unidade
00.000.000/0001-91;2022-01-01;23;127089;2019-01-01;2019-12-31;b;Ativo Total;1452266806875.66000000;Consolidado;Real;Unidade
00.000.000/0001-91;2022-01-01;23;127089;2019-01-01;2019-12-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;123105324895.20000000;Consolidado;Real;Unidade
00.000.000/0001-91;2022-01-01;23;127089;2019-01-01;2019-12-31;d;Resultado Bruto;53799029086.22000000;Consolidado;Real;Unidade
00.000.000/0001-91;2022-01-01;23;127089;2019-01-01;2019-12-31;e;Resultado Líquido;18888318139.40000000;Consolidado;Real;Unidade
00.000.000/0001-91;2022-01-01;23;127089;2019-01-01;2019-12-31;f;Número de Ações, Ex-Tesouraria;2799325330.00000000;Consolidado;Real;Unidade
00.000.000/0001-91;2022-01-01;23;127089;2019-01-01;2019-12-31;g;Valor Patrimonial da Ação (Reais Unidade);37.79000000;Consolidado;Real;Unidade
00.000.000/0001-91;2022-01-01;23;127089;2019-01-01;2019-12-31;h;Resultado Básico por Ação;5.86000000;Consolidado;Real;Unidade
00.000.000/0001-91;2022-01-01;23;127089;2019-01-01;2019-12-31;i;Resultado Diluído por Ação;5.86000000;Consolidado;Real;Unidade
00.000.000/0001-91;2022-01-01;23;127089;2020-01-01;2020-12-31;a;Patrimônio Líquido;127861284085.73000000;Consolidado;Real;Unidade
00.000.000/0001-91;2022-01-01;23;127089;2020-01-01;2020-12-31;b;Ativo Total;1693794003265.22000000;Consolidado;Real;Unidade
00.000.000/0001-91;2022-01-01;23;127089;2020-01-01;2020-12-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;98659703635.97000000;Consolidado;Real;Unidade
00.000.000/0001-91;2022-01-01;23;127089;2020-01-01;2020-12-31;d;Resultado Bruto;55427583382.42000000;Consolidado;Real;Unidade
00.000.000/0001-91;2022-01-01;23;127089;2020-01-01;2020-12-31;e;Resultado Líquido;13292883448.55000000;Consolidado;Real;Unidade
00.000.000/0001-91;2022-01-01;23;127089;2020-01-01;2020-12-31;f;Número de Ações, Ex-Tesouraria;2852522381.00000000;Consolidado;Real;Unidade
00.000.000/0001-91;2022-01-01;23;127089;2020-01-01;2020-12-31;g;Valor Patrimonial da Ação (Reais Unidade);43.84000000;Consolidado;Real;Unidade
00.000.000/0001-91;2022-01-01;23;127089;2020-01-01;2020-12-31;h;Resultado Básico por Ação;4.16000000;Consolidado;Real;Unidade
00.000.000/0001-91;2022-01-01;23;127089;2020-01-01;2020-12-31;i;Resultado Diluído por Ação;4.16000000;Consolidado;Real;Unidade
00.000.000/0001-91;2022-01-01;23;127089;2021-01-01;2021-12-31;a;Patrimônio Líquido;146110233259.80000000;Consolidado;Real;Unidade
00.000.000/0001-91;2022-01-01;23;127089;2021-01-01;2021-12-31;b;Ativo Total;1899340511224.38000000;Consolidado;Real;Unidade
00.000.000/0001-91;2022-01-01;23;127089;2021-01-01;2021-12-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;125947217480.85000000;Consolidado;Real;Unidade
00.000.000/0001-91;2022-01-01;23;127089;2021-01-01;2021-12-31;d;Resultado Bruto;59674079499.16000000;Consolidado;Real;Unidade
00.000.000/0001-91;2022-01-01;23;127089;2021-01-01;2021-12-31;e;Resultado Líquido;19722870558.50000000;Consolidado;Real;Unidade
00.000.000/0001-91;2022-01-01;23;127089;2021-01-01;2021-12-31;f;Número de Ações, Ex-Tesouraria;2853577258.00000000;Consolidado;Real;Unidade
00.000.000/0001-91;2022-01-01;23;127089;2021-01-01;2021-12-31;g;Valor Patrimonial da Ação (Reais Unidade);50.03000000;Consolidado;Real;Unidade
00.000.000/0001-91;2022-01-01;23;127089;2021-01-01;2021-12-31;h;Resultado Básico por Ação;6.43000000;Consolidado;Real;Unidade
00.000.000/0001-91;2022-01-01;23;127089;2021-01-01;2021-12-31;i;Resultado Diluído por Ação;6.43000000;Consolidado;Real;Unidade
00.000.208/0001-00;2022-01-01;19;127097;2019-01-01;2019-12-31;a;Patrimônio Líquido;1737325000.00000000;Consolidado;Real;Unidade
00.000.208/0001-00;2022-01-01;19;127097;2019-01-01;2019-12-31;b;Ativo Total;17021195000.00000000;Consolidado;Real;Unidade
00.000.208/0001-00;2022-01-01;19;127097;2019-01-01;2019-12-31;c;Rec. Liq./Rec. Intermed. Fin./Prem. Seg. Ganhos;2677938000.00000000;Consolidado;Real;Unidade
00.000.208/0001-00;2022-01-01;19;127097;2019-01-01;2019-12-31;d;Resultado Bruto;1947513000.00000000;Consolidado;Real;Unidade
00.000.208/0001-00;2022-01-01;19;127097;2019-01-01;2019-12-31;e;Resultado Líquido;413058187.99000000;Consolidado;Real;Unidade
00.000.208/0001-00;2022-01-01;19;127097;2019-01-01;2019-12-31;f;Número de Ações, Ex-Tesouraria;36304650.00000000;Consolidado;Real;Unidade
00.000.208/0001-00;2022-01-01;19;127097;2019-01-01;2019-12-31;g;Valor Patrimonial da Ação (Reais Unidade);47.85000000;Consolidado;Real;Unidade
00.000.208/0001-00;2022-01-01;19;127097;2019-01-01;2019-12-31;h;Resultado Básico por Ação;11.84000000;Consolidado;Real;Unidade
00.000.208/0001-00;2022-01-01;19;127097;2019-01-01;2019-12-31;i;Resultado Diluído por Ação;11.84000000;Consolidado;Real;Unidade
00.000.208/0001-00;2022-01-01;19;127097;2020-01-01;2020-12-31;a;Patrimônio Líquido;1977935529.74000000;Consolidado;Real;Unidade
